finding_id,master_id,predictor_category,predictor,measurement_and_cutoff,preoperative_timing,outcome_domain,outcome_definition,response_definition_class,follow_up_category,reference_standard,association_direction,adjusted_or_unadjusted,covariates,studies_k,participants_n,synthesis_type,narrative_or_quantitative_result,evidence_type,clinical_interpretation,pdf,page_or_table,source_component
F-0011,FT-003,Comorbidity phenotype,Complex iNPH,Within-complex pre-post change,Preoperative,Cognition,Continuous cognitive score change,STATISTICAL_CHANGE_ONLY,INDETERMINADO,Baseline within shunted complex phenotype,"IMPROVEMENT, IMPRECISE",UNADJUSTED/NR,NR,NR,NR,RANDOM-EFFECTS SMCR,SMCR 0.91 (95% CI -0.04 to 1.87; I² 83.3%).,PROGNOSTIC_FACTOR,Possible cognitive improvement with substantial uncertainty.,MESCLADOS 2,M2 pp.82-84,SYSTEMATIC_REVIEW_COMPONENT
F-0012,FT-003,Comorbidity phenotype,Complex iNPH,Within-complex pre-post change,Preoperative,Gait,Continuous gait change,STATISTICAL_CHANGE_ONLY,INDETERMINADO,Baseline within shunted complex phenotype,NEAR NULL,UNADJUSTED/NR,NR,NR,NR,RANDOM-EFFECTS SMCR,SMCR -0.22; highly heterogeneous (full CI in article).,PROGNOSTIC_FACTOR,Pooled gait response in complex iNPH was inconsistent.,MESCLADOS 2,M2 pp.82-84,SYSTEMATIC_REVIEW_COMPONENT
F-0013,FT-003,Comorbidity phenotype,Complex iNPH,Within-complex pre-post change,Preoperative,Urinary,Continuous incontinence change,STATISTICAL_CHANGE_ONLY,INDETERMINADO,Baseline within shunted complex phenotype,SMALL IMPROVEMENT,UNADJUSTED/NR,NR,NR,NR,RANDOM-EFFECTS SMCR,SMCR 0.17 (95% CI -0.12 to 0.46; I² 0%).,PROGNOSTIC_FACTOR,"Small, imprecise urinary change; not a basis to exclude surgery.",MESCLADOS 2,M2 pp.82-84,SYSTEMATIC_REVIEW_COMPONENT
F-0014,FT-003,Time/phenotype,Complex phenotype × follow-up time,Exploratory multilevel meta-regression,Preoperative,Urinary,Continuous incontinence change over time,STATISTICAL_CHANGE_ONLY,LONGO,Within-complex post-shunt trajectories,POSSIBLE INTERACTION,META-REGRESSION,"Follow-up time, phenotype",Sparse,NR,MULTILEVEL META-REGRESSION,Exploratory phenotype-by-time signal for incontinence; sparse support and hypothesis-generating.,PROGNOSTIC_FACTOR,Do not use to time or withhold surgery without replication.,MESCLADOS 2,M2 pp.83-86,SYSTEMATIC_REVIEW_COMPONENT
F-0015,FT-004,CSF biomarker,Aβ42 / amyloid profile,Preoperative CSF concentration/ratios; heterogeneous assays,Preoperative,Global/cognition,Post-VPS response,AUTHOR_DEFINED,INDETERMINADO,Responder versus non-responder,"POTENTIAL ASSOCIATION, INCONSISTENT",UNADJUSTED/NR,NR,Subset of 9 prognostic reports,NR,NARRATIVE,Amyloid-related markers showed preliminary prognostic associations but were not clinically validated.,PROGNOSTIC_FACTOR,Candidate adjunct; not a standalone rule-out marker.,MESCLADOS 2,"M2 pp.23, 35-40",SYSTEMATIC_REVIEW_COMPONENT
F-0016,FT-004,CSF biomarker,Tau / phosphorylated tau,Preoperative CSF concentrations; heterogeneous assays,Preoperative,Global/cognition,Post-VPS response,AUTHOR_DEFINED,INDETERMINADO,Responder versus non-responder,HIGHER NEURODEGENERATIVE BURDEN TENDS TO WORSE RESPONSE,UNADJUSTED/NR,NR,Subset,NR,NARRATIVE,Tau-related profiles were linked to comorbid neurodegeneration and poorer/less durable response in some studies.,PROGNOSTIC_FACTOR,"Supports phenotype-aware counseling, not exclusion.",MESCLADOS 2,M2 pp.35-40,SYSTEMATIC_REVIEW_COMPONENT
F-0017,FT-004,CSF biomarker,AQP4,Preoperative CSF level,Preoperative,Global response,Post-VPS response,AUTHOR_DEFINED,INDETERMINADO,Responder versus non-responder,LOWER LEVEL REPORTED IN RESPONDERS,UNADJUSTED/NR,NR,1,NR,NARRATIVE,Lower preoperative AQP4 was reported in responders in one study; no validated cutoff.,PROGNOSTIC_FACTOR,Exploratory only.,MESCLADOS 2,"M2 pp.26, 36",SYSTEMATIC_REVIEW_COMPONENT
F-0018,FT-004,Proteomic panel,Multidimensional CSF protein signature,Exploratory proteomics/panel models,Preoperative,Global/gait/cognition,Post-VPS response,AUTHOR_DEFINED,INDETERMINADO,Responder versus non-responder,PROMISING BUT UNVALIDATED,UNADJUSTED/NR,NR,Multiple exploratory studies,NR,NARRATIVE,"Panels appeared more informative than single proteins, but studies were heterogeneous and predominantly exploratory.",PROGNOSTIC_FACTOR,Requires prospective external validation before surgical use.,MESCLADOS 2,"M2 pp.23, 41-46",SYSTEMATIC_REVIEW_COMPONENT
F-0019,FT-004,CSF biomarker,"Inflammatory/ECM proteins including DSG2, ITGB1, QPCT, RBP4",Proteomic abundance; no common cutoff,Preoperative,Global/gait,Post-VPS response,AUTHOR_DEFINED,INDETERMINADO,Responder versus non-responder,MIXED CANDIDATE SIGNALS,UNADJUSTED/NR,NR,Sparse,NR,NARRATIVE,"Several proteins differed between responders and non-responders, often in single studies without replication.",PROGNOSTIC_FACTOR,Hypothesis-generating; no clinical threshold.,MESCLADOS 2,M2 pp.39-44,SYSTEMATIC_REVIEW_COMPONENT
F-0020,FT-005,Outcome measurement,Neuropsychological test battery heterogeneity,"MMSE, TMT, FAB, fluency, memory, visuospatial and psychomotor tests",Preoperative,Cognition,Pre/post shunt cognitive trajectory,AUTHOR_DEFINED,INDETERMINADO,Within-subject change,HETEROGENEOUS,UNADJUSTED/NR,NR,10,NR,POOLED DESCRIPTIVE,Domains and follow-up intervals varied; weighted means showed domain-specific trajectories with large pooled variability.,OUTCOME_MEASUREMENT,Use a core battery rather than MMSE alone.,MESCLADOS 2,M2 pp.236-245,SYSTEMATIC_REVIEW_COMPONENT
F-0021,FT-005,Cognitive test,MMSE,Weighted mean/pooled SD at baseline and 3-24 months,Preoperative,Cognition,Global cognitive change,STATISTICAL_CHANGE_ONLY,LONGO,Within-subject change,MODEST IMPROVEMENT,UNADJUSTED/NR,NR,NR,NR,POOLED DESCRIPTIVE,MMSE generally improved within the first year; variability was substantial.,OUTCOME_MEASUREMENT,MMSE is insufficiently sensitive to frontal-subcortical change when used alone.,MESCLADOS 2,M2 pp.239-244,SYSTEMATIC_REVIEW_COMPONENT
F-0022,FT-005,Cognitive tests,TMT-A/TMT-B and FAB,Repeated neuropsychological scores,Preoperative,Cognition,Executive/processing change,STATISTICAL_CHANGE_ONLY,INTERMEDIÁRIO,Within-subject change,IMPROVEMENT IN SOME COHORTS,UNADJUSTED/NR,NR,NR,NR,POOLED DESCRIPTIVE,Executive and psychomotor measures demonstrated postoperative change but with wide dispersion.,OUTCOME_MEASUREMENT,Domain-specific tools improve sensitivity to response.,MESCLADOS 2,M2 pp.239-244,SYSTEMATIC_REVIEW_COMPONENT
F-0023,FT-005,Response measurement,Follow-up schedule,"T0, 3, 6, 12, 24 months",Preoperative,Cognition,Cognitive trajectory after shunt,NOT_REPORTED,LONGO,Within-subject change,TIME-DEPENDENT,UNADJUSTED/NR,NR,10,NR,POOLED DESCRIPTIVE,"Recovery patterns differed by domain and time, arguing against a single universal cognitive endpoint.",OUTCOME_MEASUREMENT,Prespecify domain and follow-up window.,MESCLADOS 2,M2 pp.237-245,SYSTEMATIC_REVIEW_COMPONENT
F-0024,FT-007,Outcome measurement,Depression symptom scores,Validated depression scales; heterogeneous,Preoperative,Neuropsychiatric,Change after iNPH treatment,STATISTICAL_CHANGE_ONLY,INDETERMINADO,Pre/post treatment,POSSIBLE IMPROVEMENT,UNADJUSTED/NR,NR,NR,NR,RANDOM-EFFECTS SMD,Pooled change -0.30 (95% CI -0.62 to 0.01; I² 73.9%); CI included null.,OUTCOME_MEASUREMENT,"Potential benefit, but not a validated responder definition.",MESCLADOS 1,"M1 pp.37, 42-44",SYSTEMATIC_REVIEW_COMPONENT
F-0025,FT-007,Neuropsychiatric phenotype,Apathy,Validated tools/clinical diagnosis,Preoperative,Neuropsychiatric,"Baseline prevalence, not prediction",NOT_REPORTED,,,HIGH PREVALENCE,UNADJUSTED/NR,NR,NR,293,RANDOM-EFFECTS PROPORTION,Pooled prevalence 69.2% (95% CI 63.1-74.6).,OUTCOME_MEASUREMENT,Apathy should be measured separately from cognition; response data were sparse.,MESCLADOS 1,"M1 pp.37, 41-42",SYSTEMATIC_REVIEW_COMPONENT
F-0026,FT-007,Outcome measurement,Neuropsychiatric response definitions,Multiple instruments and clinician diagnoses,Preoperative,Neuropsychiatric,Post-treatment symptom response,AUTHOR_DEFINED,INDETERMINADO,Pre/post treatment,HETEROGENEOUS,UNADJUSTED/NR,NR,22,NR,SYSTEMATIC REVIEW,Treatment-response evidence was limited and dominated by depression; other symptom domains lacked robust longitudinal data.,OUTCOME_MEASUREMENT,Do not infer global shunt non-response from persistent apathy or behavioral symptoms.,MESCLADOS 1,M1 pp.37-47,SYSTEMATIC_REVIEW_COMPONENT
F-0027,FT-008,Atypical symptom,Dysphagia/speech impairment and other neurological manifestations,Clinical presence and reported post-shunt resolution,Preoperative,Atypical symptoms,Symptom-specific change,AUTHOR_DEFINED,INDETERMINADO,Post-CSF diversion symptom course,VARIABLE,UNADJUSTED/NR,NR,27,NR,DESCRIPTIVE,Post-shunt resolution varied by symptom; dysphagia was reported preoperatively in one cohort and outcomes were not standardized.,OUTCOME_MEASUREMENT,Atypical domains require separate counseling and measurement.,MESCLADOS 1,M1 pp.129-141,SYSTEMATIC_REVIEW_COMPONENT
F-0028,FT-008,Atypical symptom,Neuropsychiatric manifestations,"Psychosis, depression, apathy, aggression, mania",Preoperative,Neuropsychiatric,Symptom resolution after CSF diversion,AUTHOR_DEFINED,INDETERMINADO,Post-CSF diversion,HIGHLY VARIABLE,UNADJUSTED/NR,NR,27,NR,DESCRIPTIVE,Complete resolution ranged from 0% for some symptoms to 100% in isolated manifestations; evidence was often small-series based.,OUTCOME_MEASUREMENT,Symptom-specific response cannot be generalized to the classic triad.,MESCLADOS 1,M1 pp.129-141,SYSTEMATIC_REVIEW_COMPONENT
F-0029,FT-008,Response definition,Complete versus partial symptom resolution,Author-reported; no common threshold,Preoperative,Atypical symptoms,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-CSF diversion,NONSTANDARD,UNADJUSTED/NR,NR,27,NR,DESCRIPTIVE,No validated composite definition for atypical symptom response.,OUTCOME_MEASUREMENT,Use explicit symptom-level endpoints.,MESCLADOS 1,M1 pp.129-141,SYSTEMATIC_REVIEW_COMPONENT
F-0030,FT-010,CSF dynamics,Resistance to CSF outflow (Rout),LIT cutoff 12 mmHg/ml/min,Preoperative,Global response,Symptomatic improvement after shunt,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,POSITIVE TEST HAS LIMITED DISCRIMINATION,UNADJUSTED/NR,NR,Up to 5,NR,BAYESIAN DIAGNOSTIC META-ANALYSIS,Sensitivity 76.9%; specificity 34.0%.,RESPONSE_CLASSIFIER,Threshold changes trade sensitivity for specificity; no cutoff reliably excludes benefit.,MESCLADOS 3,"M3 pp.172, 176-178",SYSTEMATIC_REVIEW_COMPONENT
F-0031,FT-010,CSF dynamics,Resistance to CSF outflow (Rout),LIT cutoff 14 mmHg/ml/min,Preoperative,Global response,Symptomatic improvement after shunt,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,POSITIVE TEST HAS LIMITED DISCRIMINATION,UNADJUSTED/NR,NR,Up to 5,NR,BAYESIAN DIAGNOSTIC META-ANALYSIS,Sensitivity 81.6%; specificity 37.2%.,RESPONSE_CLASSIFIER,Threshold changes trade sensitivity for specificity; no cutoff reliably excludes benefit.,MESCLADOS 3,"M3 pp.172, 176-178",SYSTEMATIC_REVIEW_COMPONENT
F-0032,FT-010,CSF dynamics,Resistance to CSF outflow (Rout),LIT cutoff 18 mmHg/ml/min,Preoperative,Global response,Symptomatic improvement after shunt,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,POSITIVE TEST HAS LIMITED DISCRIMINATION,UNADJUSTED/NR,NR,Up to 5,NR,BAYESIAN DIAGNOSTIC META-ANALYSIS,Sensitivity 36.6%; specificity 78.0%.,RESPONSE_CLASSIFIER,Threshold changes trade sensitivity for specificity; no cutoff reliably excludes benefit.,MESCLADOS 3,"M3 pp.172, 176-178",SYSTEMATIC_REVIEW_COMPONENT
F-0033,FT-010,CSF dynamics,Negative lumbar infusion test,Rout thresholds 12-18,Preoperative,Global response,No symptomatic improvement after shunt,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,POOR RULE-OUT,UNADJUSTED/NR,NR,5,NR,BAYESIAN META-ANALYSIS,Negative predictive value was at most 33.3%.,RESPONSE_CLASSIFIER,A negative LIT should not exclude a patient from shunting.,MESCLADOS 3,"M3 pp.172, 176-179",SYSTEMATIC_REVIEW_COMPONENT
F-0034,FT-011,Invasive test,Lumbar puncture/tap response,Study-specific gait/cognitive criteria,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,MIXED,UNADJUSTED/NR,NR,Subset of 10,NR,NARRATIVE,Invasive tests showed variable predictive performance across small heterogeneous studies.,RESPONSE_CLASSIFIER,Use as one component of multimodal selection.,MESCLADOS 3,M3 pp.194-204,SYSTEMATIC_REVIEW_COMPONENT
F-0035,FT-011,Invasive test,Infusion testing,Rout/CSF dynamics; heterogeneous,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,MIXED,UNADJUSTED/NR,NR,Subset,NR,NARRATIVE,No single infusion parameter consistently separated responders from non-responders.,RESPONSE_CLASSIFIER,Negative results are not exclusionary.,MESCLADOS 3,M3 pp.194-204,SYSTEMATIC_REVIEW_COMPONENT
F-0036,FT-011,Non-invasive test,EEG/TCD/intracranial compliance/OCT,Heterogeneous experimental metrics,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,PRELIMINARY,UNADJUSTED/NR,NR,Sparse,401,NARRATIVE,Non-invasive methods were promising in isolated studies but lacked external validation.,RESPONSE_CLASSIFIER,Research use only.,MESCLADOS 3,M3 pp.194-204,SYSTEMATIC_REVIEW_COMPONENT
F-0037,FT-011,Multimodal selection,Combination of invasive and non-invasive markers,No standardized model,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,POTENTIALLY ADDITIVE,UNADJUSTED/NR,NR,10,401,NARRATIVE,Review favored combined assessment rather than reliance on a single test.,RESPONSE_CLASSIFIER,Multimodal evaluation is plausible but not formally validated.,MESCLADOS 3,M3 pp.194-205,SYSTEMATIC_REVIEW_COMPONENT
F-0038,FT-012,Temporary CSF test,CSF tap test,Study-specific positivity cutoffs,Preoperative,Global response,Post-shunt clinical/functional improvement,AUTHOR_DEFINED,INDETERMINADO,Shunt surgery,MODEST ACCURACY,UNADJUSTED/NR,NR,9,700,BIVARIATE RANDOM-EFFECTS DTA,Sensitivity 64.1% (95% CI 49.2–76.6); I² 81.3%.,RESPONSE_CLASSIFIER,Sensitivity is incomplete; a negative test cannot safely rule out response.,OFFICIAL_FRONTIERS_ACCEPTED_ABSTRACT,Official accepted abstract—Results,SYSTEMATIC_REVIEW_COMPONENT
F-0039,FT-012,Temporary CSF test,CSF tap test,Study-specific positivity cutoffs,Preoperative,Global response,Post-shunt clinical/functional improvement,AUTHOR_DEFINED,INDETERMINADO,Shunt surgery,MODEST ACCURACY,UNADJUSTED/NR,NR,9,700,BIVARIATE RANDOM-EFFECTS DTA,Specificity 54.8% (95% CI 41.8–67.2); I² 59.7%.,RESPONSE_CLASSIFIER,"A positive result may support selection, but poor specificity limits standalone rule-in.",OFFICIAL_FRONTIERS_ACCEPTED_ABSTRACT,Official accepted abstract—Results,SYSTEMATIC_REVIEW_COMPONENT
F-0040,FT-012,Temporary CSF test,Lumbar infusion test,Study-specific positivity cutoffs,Preoperative,Global response,Post-shunt clinical/functional improvement,AUTHOR_DEFINED,INDETERMINADO,Shunt surgery,MODEST ACCURACY,UNADJUSTED/NR,NR,5,368,BIVARIATE RANDOM-EFFECTS DTA,Sensitivity 77.5% (95% CI 70.2–83.4); I² 14.7%.,RESPONSE_CLASSIFIER,Sensitivity is incomplete; a negative test cannot safely rule out response.,OFFICIAL_FRONTIERS_ACCEPTED_ABSTRACT,Official accepted abstract—Results,SYSTEMATIC_REVIEW_COMPONENT
F-0041,FT-012,Temporary CSF test,Lumbar infusion test,Study-specific positivity cutoffs,Preoperative,Global response,Post-shunt clinical/functional improvement,AUTHOR_DEFINED,INDETERMINADO,Shunt surgery,MODEST ACCURACY,UNADJUSTED/NR,NR,5,368,BIVARIATE RANDOM-EFFECTS DTA,Specificity 28.3% (95% CI 19.0–39.9); I² 4.6%.,RESPONSE_CLASSIFIER,"A positive result may support selection, but poor specificity limits standalone rule-in.",OFFICIAL_FRONTIERS_ACCEPTED_ABSTRACT,Official accepted abstract—Results,SYSTEMATIC_REVIEW_COMPONENT
F-0042,FT-013,Clinical history,Duration of symptoms,Reported months/years before VP shunt; heterogeneous cutpoints,Preoperative,Global response,Study-defined clinical outcome,AUTHOR_DEFINED,INDETERMINADO,Post-VP-shunt outcome,INCONSISTENT,UNADJUSTED/NR,NR,24,1169,NARRATIVE,Some studies associated shorter duration (often ≤2 years) with better outcome; others found no clear relationship.,PROGNOSTIC_FACTOR,"Earlier referral is reasonable, but duration alone should not exclude surgery.",MESCLADOS 2,M2 pp.220-232,SYSTEMATIC_REVIEW_COMPONENT
F-0043,FT-013,Clinical history,Shorter symptom duration,"Various thresholds, often ≤2 years",Preoperative,Gait/cognition,Pre/post MMSE/TUG or clinical improvement,AUTHOR_DEFINED,INTERMEDIÁRIO,Post-shunt change,TENDS TO BETTER RESPONSE,UNADJUSTED/NR,NR,Subset,NR,NARRATIVE,"Direction generally favored shorter symptom duration, with substantial methodological heterogeneity.",PROGNOSTIC_FACTOR,"Use for counseling, not deterministic selection.",MESCLADOS 2,M2 pp.225-232,SYSTEMATIC_REVIEW_COMPONENT
F-0044,FT-013,Clinical history,Long symptom duration,Continuous or categorical,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,LONGO,Post-shunt outcome,NOT A RELIABLE RULE-OUT,UNADJUSTED/NR,NR,Subset,NR,NARRATIVE,Long duration did not uniformly preclude meaningful improvement.,PROGNOSTIC_FACTOR,Avoid denying shunt solely due to chronicity.,MESCLADOS 2,M2 pp.225-232,SYSTEMATIC_REVIEW_COMPONENT
F-0045,FT-015,Clinical/imaging selection,Guideline-compatible probable iNPH phenotype,Triad spectrum + ventriculomegaly/DESH and exclusion of mimics,Preoperative,Global response,Clinical improvement after shunt,CLINICAL_JUDGMENT,INDETERMINADO,Post-shunt outcome,SUPPORTIVE,UNADJUSTED/NR,NR,73,NR,NARRATIVE/ALGORITHM,"Algorithm emphasizes integrated clinical, imaging and CSF testing rather than any single predictor.",RESPONSE_CLASSIFIER,Selection should be multimodal and staged.,MESCLADOS 2,M2 pp.174-183,SYSTEMATIC_REVIEW_COMPONENT
F-0046,FT-015,Temporary CSF drainage,Positive high-volume lumbar puncture response,Study-specific gait/cognitive criteria,Preoperative,Global response,Post-shunt improvement,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,POSITIVE ASSOCIATION,UNADJUSTED/NR,NR,Multiple,NR,NARRATIVE,Positive drainage response was treated as supportive of shunt benefit.,RESPONSE_CLASSIFIER,Positive test can rule in probabilistically; negative test not exclusionary.,MESCLADOS 2,M2 pp.174-183,SYSTEMATIC_REVIEW_COMPONENT
F-0047,FT-015,CSF dynamics,Infusion test / ICP measurement,Heterogeneous parameters,Preoperative,Global response,Post-shunt improvement,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,SUPPORTIVE IN SELECTED CASES,UNADJUSTED/NR,NR,Multiple,NR,NARRATIVE,Presented as alternatives when tap-test findings are equivocal.,RESPONSE_CLASSIFIER,Specialist adjuncts; thresholds not standardized.,MESCLADOS 2,M2 pp.174-183,SYSTEMATIC_REVIEW_COMPONENT
F-0048,FT-015,Outcome measurement,Repeated domain assessment,"Gait, cognition and urinary function before/after drainage and shunt",Preoperative,Global response,Composite clinical response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt outcome,RECOMMENDED,UNADJUSTED/NR,NR,73,NR,ALGORITHM,Serial standardized testing was recommended to reduce subjective classification.,OUTCOME_MEASUREMENT,Document domain-specific baseline and follow-up.,MESCLADOS 2,M2 pp.174-183,SYSTEMATIC_REVIEW_COMPONENT
F-0049,FT-016,Tap-test protocol,CSF removal volume,Large-volume LP; protocols varied widely,Preoperative,Global/gait response,Temporary CSF response and subsequent shunt response,AUTHOR_DEFINED,CURTO,Shunt outcome where reported,NO VALIDATED OPTIMAL VOLUME,UNADJUSTED/NR,NR,222,80322,SYSTEMATIC REVIEW,Evidence did not establish a single volume that maximizes predictive validity.,RESPONSE_CLASSIFIER,Protocol standardization is needed; volume alone is not a predictor.,MESCLADOS 1,M1 pp.48-59,SYSTEMATIC_REVIEW_COMPONENT
F-0050,FT-016,Gait test,Timed Up and Go,Most frequently used gait assessment; thresholds varied,Preoperative,Gait,Post-tap change,AUTHOR_DEFINED,CURTO,Temporary drainage response; shunt in subset,RESPONSIVE BUT NONSTANDARD,UNADJUSTED/NR,NR,68,NR,SYSTEMATIC MAPPING,TUG was the most commonly used specific gait test; no universal positivity threshold.,OUTCOME_MEASUREMENT,Record absolute and percent change with timing.,MESCLADOS 1,M1 pp.52-58,SYSTEMATIC_REVIEW_COMPONENT
